tasks,method,journal,label,field,field2,rjournal,ryear,rdoi,jid,type,year,wos_doi,arxiv_id,lag
['Fairness'],[],ethics and information technology,0.0,"['Mathematics', 'Computer Science', 'Medicine', 'Psychology']",['Psychology'],Big data,2016.0,10.1089/big.2016.0047,22.0,Article,2022.0,10.1007/s10676-022-09658-7,,6.0
['BIG-bench Machine Learning'],[],ethics and information technology,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,2016.0,10.1145/2976749.2978318,22.0,Article,2021.0,10.1007/s10676-021-09606-x,,5.0
['BIG-bench Machine Learning'],[],information technology & people,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,2016.0,10.1145/2976749.2978318,28.0,Article; Early Access,2021.0,10.1108/itp-07-2020-0534,,5.0
['BIG-bench Machine Learning'],[],journal of the american medical informatics association,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,2016.0,10.1145/2976749.2978318,21.0,Article,2020.0,10.1093/jamia/ocaa119,,4.0
['BIG-bench Machine Learning'],[],journal of the american medical informatics association,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,2016.0,10.1145/2976749.2978318,21.0,Article,2020.0,10.1093/jamia/ocz195,,4.0
[],[],information processing & management,2.0,"['Computer Science', 'Mathematics']","['Economics', 'Computer Science']",Eur. J. Oper. Res.,2016.0,10.1016/j.ejor.2017.03.021,10.0,Article,2021.0,10.1016/j.ipm.2021.102571,,5.0
['Text Generation'],[],information processing & management,2.0,['Computer Science'],"['Computer Science', 'Education']",ArXiv,2016.0,10.18653/v1/d16-1168,10.0,Article,2019.0,10.1016/j.ipm.2019.03.006,,3.0
['Bayesian Optimization'],[],mis quarterly,0.0,"['Engineering', 'Computer Science']",['Computer Science'],2016 IEEE-RAS 16th International Conference on Humanoid Robots (Humanoids),2016.0,10.1109/humanoids.2016.7803249,7.0,Article,2020.0,10.25300/misq/2020/14870,,4.0
['Bayesian Optimization'],[],information processing & management,2.0,"['Engineering', 'Computer Science']",['Computer Science'],2016 IEEE-RAS 16th International Conference on Humanoid Robots (Humanoids),2016.0,10.1109/humanoids.2016.7803249,10.0,Article,2020.0,10.1016/j.ipm.2020.102343,,4.0
[],[],profesional de la informacion,1.0,"['Political Science', 'Computer Science', 'Medicine']",['Computer Science'],PLoS ONE,2016.0,10.1371/journal.pone.0166586,44.0,Article,2018.0,10.3145/epi.2018.nov.02,,2.0
"['Question Answering', 'Reading Comprehension', 'regression']",[],journal of the american medical informatics association,0.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1264,21.0,Article,2020.0,10.1093/jamia/ocaa189,,4.0
"['Question Answering', 'Reading Comprehension', 'regression']",[],scientometrics,2.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1264,32.0,Article,2020.0,10.1007/s11192-020-03502-9,,4.0
"['Question Answering', 'Reading Comprehension', 'regression']",[],information systems research,0.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1264,15.0,Article,2020.0,10.48550/arxiv.2003.10555,,4.0
"['Question Answering', 'Reading Comprehension', 'regression']",[],scientometrics,2.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1264,32.0,Article,2019.0,10.1007/s11192-019-03218-5,,3.0
"['Crowd Counting', 'General Classification', 'Image Segmentation', 'Lesion Segmentation', 'Medical Image Segmentation', 'Real-Time Semantic Segmentation', 'Scene Segmentation', 'Scene Understanding', 'Semantic Segmentation', 'Thermal Image Segmentation']","['Convolution', 'Kaiming Initialization', 'Batch Normalization', 'ReLU', 'Max Pooling', 'Softmax', 'SGD with Momentum', 'SegNet']",journal of organizational and end user computing,0.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2015.0,10.1109/tpami.2016.2644615,24.0,Article,2021.0,10.4018/joeuc.20211101.oa6,,6.0
"['Crowd Counting', 'General Classification', 'Image Segmentation', 'Lesion Segmentation', 'Medical Image Segmentation', 'Real-Time Semantic Segmentation', 'Scene Segmentation', 'Scene Understanding', 'Semantic Segmentation', 'Thermal Image Segmentation']","['Convolution', 'Kaiming Initialization', 'Batch Normalization', 'ReLU', 'Max Pooling', 'Softmax', 'SGD with Momentum', 'SegNet']",information processing & management,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2015.0,10.1109/tpami.2016.2644615,10.0,Article,2021.0,10.1016/j.ipm.2021.102680,,6.0
"['Crowd Counting', 'General Classification', 'Image Segmentation', 'Lesion Segmentation', 'Medical Image Segmentation', 'Real-Time Semantic Segmentation', 'Scene Segmentation', 'Scene Understanding', 'Semantic Segmentation', 'Thermal Image Segmentation']","['Convolution', 'Kaiming Initialization', 'Batch Normalization', 'ReLU', 'Max Pooling', 'Softmax', 'SGD with Momentum', 'SegNet']",international journal of geographical information science,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2015.0,10.1109/tpami.2016.2644615,27.0,Article,2021.0,10.1080/13658816.2021.1919682,,6.0
"['Crowd Counting', 'General Classification', 'Image Segmentation', 'Lesion Segmentation', 'Medical Image Segmentation', 'Real-Time Semantic Segmentation', 'Scene Segmentation', 'Scene Understanding', 'Semantic Segmentation', 'Thermal Image Segmentation']","['Convolution', 'Kaiming Initialization', 'Batch Normalization', 'ReLU', 'Max Pooling', 'Softmax', 'SGD with Momentum', 'SegNet']",information processing & management,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2015.0,10.1109/tpami.2016.2644615,10.0,Article,2020.0,10.1016/j.ipm.2020.102352,,5.0
"['Crowd Counting', 'General Classification', 'Image Segmentation', 'Lesion Segmentation', 'Medical Image Segmentation', 'Real-Time Semantic Segmentation', 'Scene Segmentation', 'Scene Understanding', 'Semantic Segmentation', 'Thermal Image Segmentation']","['Convolution', 'Kaiming Initialization', 'Batch Normalization', 'ReLU', 'Max Pooling', 'Softmax', 'SGD with Momentum', 'SegNet']",international journal of geographical information science,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2015.0,10.1109/tpami.2016.2644615,27.0,Article,2019.0,10.1080/13658816.2019.1643024,,4.0
"['Crowd Counting', 'General Classification', 'Image Segmentation', 'Lesion Segmentation', 'Medical Image Segmentation', 'Real-Time Semantic Segmentation', 'Scene Segmentation', 'Scene Understanding', 'Semantic Segmentation', 'Thermal Image Segmentation']","['Convolution', 'Kaiming Initialization', 'Batch Normalization', 'ReLU', 'Max Pooling', 'Softmax', 'SGD with Momentum', 'SegNet']",international journal of geographical information science,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2015.0,10.1109/tpami.2016.2644615,27.0,Article,2020.0,10.1080/13658816.2019.1599122,,5.0
['Question Answering'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1147,10.0,Article,2022.0,10.1016/j.ipm.2022.102933,,6.0
"['General Classification', 'Land Cover Classification', 'Superpixels']",[],international journal of geographical information science,2.0,['Computer Science'],['Computer Science'],IEEE Transactions on Geoscience and Remote Sensing,2016.0,10.1109/tgrs.2016.2616585,27.0,Article,2021.0,10.1080/13658816.2020.1814303,,5.0
['Lesion Segmentation'],"['SPEED', 'Max Pooling', 'Convolution', 'CRF', 'FCN']",journal of the american medical informatics association,0.0,['Computer Science'],"['Computer Science', 'Medicine']",ArXiv,2016.0,10.1007/978-3-319-46723-8_48,21.0,Article,2021.0,10.1093/jamia/ocaa342,,5.0
"['Colorization', 'Image Colorization', 'Self-Supervised Image Classification']",['Colorization'],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.1007/978-3-319-46487-9_40,10.0,Article,2022.0,10.1016/j.ipm.2022.102926,,6.0
"['Colorization', 'Image Colorization', 'Self-Supervised Image Classification']",['Colorization'],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.1007/978-3-319-46487-9_40,10.0,Article,2022.0,10.1016/j.ipm.2022.102875,,6.0
"['Colorization', 'Image Colorization', 'Self-Supervised Image Classification']",['Colorization'],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.1007/978-3-319-46487-9_40,10.0,Article,2022.0,10.1016/j.ipm.2022.103067,,6.0
"['Chatbot', 'Dialogue Generation', 'Policy Gradient Methods', 'reinforcement-learning', 'Reinforcement Learning (RL)']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1127,10.0,Article,2020.0,10.1016/j.ipm.2019.102152,,4.0
['Community Detection'],[],international journal of geographical information science,2.0,"['Physics', 'Computer Science', 'Mathematics']",['Computer Science'],ArXiv,2016.0,10.1103/physrevx.6.031038,27.0,Review,2021.0,10.1080/13658816.2021.1880589,,5.0
['Community Detection'],[],international journal of information management,0.0,"['Physics', 'Computer Science', 'Mathematics']",['Computer Science'],ArXiv,2016.0,10.1103/physrevx.6.031038,1.0,Article,2020.0,10.1016/j.ijinfomgt.2019.10.002,,4.0
[],[],journal of informetrics,2.0,['Computer Science'],['Linguistics'],ArXiv,2016.0,10.1016/j.ins.2016.09.051,18.0,Article,2017.0,10.1016/j.joi.2017.09.009,,1.0
['Word Embeddings'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.1007/978-3-319-57529-2_29,10.0,Article,2021.0,10.1016/j.ipm.2020.102455,,5.0
['Word Embeddings'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.1007/978-3-319-57529-2_29,10.0,Article,2020.0,10.1016/j.ipm.2019.102056,,4.0
"['Action Recognition', 'Action Recognition In Videos', 'Temporal Action Localization']","['Softmax', 'Convolution']",information & management,0.0,['Computer Science'],['Computer Science'],2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2016.0,10.1109/cvpr.2016.213,5.0,Article,2021.0,10.1016/j.im.2021.103484,,5.0
['Sparse Learning'],[],data technologies and applications,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3136625,52.0,Article,2022.0,10.1108/dta-09-2021-0233,,6.0
['Sparse Learning'],[],journal of informetrics,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3136625,18.0,Article,2021.0,10.1016/j.joi.2020.101121,,5.0
['Sparse Learning'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3136625,10.0,Article,2020.0,10.1016/j.ipm.2020.102240,,4.0
[],[],information processing & management,2.0,['Computer Science'],['Psychology'],EPJ Data Science,2016.0,10.1140/epjds/s13688-016-0093-1,10.0,Article,2019.0,10.1016/j.ipm.2019.03.006,,3.0
['Natural Language Inference'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1244,10.0,Article,2021.0,10.1016/j.ipm.2021.102738,,5.0
['Natural Language Inference'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1244,10.0,Article,2021.0,10.1016/j.ipm.2020.102472,,5.0
['Natural Language Inference'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1244,10.0,Article,2020.0,10.1016/j.ipm.2020.102309,,4.0
['Natural Language Inference'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1244,10.0,Article,2020.0,10.1016/j.ipm.2020.102318,,4.0
['Natural Language Inference'],[],international journal of geographical information science,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1244,27.0,Article,2018.0,10.1080/13658816.2017.1390119,,2.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'General Classification', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'SVM', 'Memory Network', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1021,10.0,Article,2022.0,10.1016/j.ipm.2022.102953,,6.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'General Classification', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'SVM', 'Memory Network', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1021,10.0,Article,2021.0,10.1016/j.ipm.2021.102729,,5.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'General Classification', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'SVM', 'Memory Network', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1021,10.0,Article,2021.0,10.1016/j.ipm.2021.102674,,5.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'General Classification', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'SVM', 'Memory Network', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1021,10.0,Article,2021.0,10.1016/j.ipm.2021.102641,,5.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'General Classification', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'SVM', 'Memory Network', 'LSTM']",journal of information science,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1021,30.0,Article,2020.0,10.1177/0165551519845854,,4.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'General Classification', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'SVM', 'Memory Network', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1021,10.0,Article,2019.0,10.1016/j.ipm.2018.12.004,,3.0
['Word Embeddings'],[],scientometrics,2.0,"['Computer Science', 'Medicine']",['Computer Science'],Proceedings of the Conference on Empirical Methods in Natural Language Processing. Conference on Empirical Methods in Natural Language Processing,2016.0,10.18653/v1/d16-1057,32.0,Article,2022.0,10.1007/s11192-022-04462-y,,6.0
['Word Embeddings'],[],scientometrics,2.0,"['Computer Science', 'Medicine']",['Computer Science'],Proceedings of the Conference on Empirical Methods in Natural Language Processing. Conference on Empirical Methods in Natural Language Processing,2016.0,10.18653/v1/d16-1057,32.0,Article,2021.0,10.1007/s11192-020-03816-8,,5.0
['Word Embeddings'],[],information processing & management,2.0,"['Computer Science', 'Medicine']",['Computer Science'],Proceedings of the Conference on Empirical Methods in Natural Language Processing. Conference on Empirical Methods in Natural Language Processing,2016.0,10.18653/v1/d16-1057,10.0,Article,2020.0,10.1016/j.ipm.2020.102273,,4.0
['Word Embeddings'],[],information processing & management,2.0,"['Computer Science', 'Medicine']",['Computer Science'],Proceedings of the Conference on Empirical Methods in Natural Language Processing. Conference on Empirical Methods in Natural Language Processing,2016.0,10.18653/v1/d16-1057,10.0,Article,2019.0,10.1016/j.ipm.2018.11.002,,3.0
"['Visual Grounding', 'Visual Question Answering', 'Visual Question Answering (VQA)']","['Average Pooling', 'Residual Connection', 'ReLU', '1x1 Convolution', 'Batch Normalization', 'Bottleneck Residual Block', 'Global Average Pooling', 'Residual Block', 'Kaiming Initialization', 'Max Pooling', 'Convolution', 'ResNet']",information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1044,10.0,Article,2022.0,10.1016/j.ipm.2022.102977,,6.0
"['Visual Grounding', 'Visual Question Answering', 'Visual Question Answering (VQA)']","['Average Pooling', 'Residual Connection', 'ReLU', '1x1 Convolution', 'Batch Normalization', 'Bottleneck Residual Block', 'Global Average Pooling', 'Residual Block', 'Kaiming Initialization', 'Max Pooling', 'Convolution', 'ResNet']",information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1044,10.0,Article,2021.0,10.1016/j.ipm.2021.102687,,5.0
"['Facial Expression Recognition (FER)', 'Multi-Label Learning']",[],mis quarterly,0.0,['Computer Science'],['Computer Science'],Proceedings of the 18th ACM International Conference on Multimodal Interaction,2016.0,10.1145/2993148.2993165,7.0,Article,2020.0,10.25300/misq/2020/14870,,4.0
"['Decision Making', 'Fairness']",[],information processing & management,2.0,['Computer Science'],['Philosophy'],Communications of the ACM,2021.0,10.1145/3433949,10.0,Article,2021.0,10.1016/j.ipm.2021.102722,,0.0
[],[],international journal of geographical information science,2.0,['Computer Science'],['Computer Science'],2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2016.0,10.1109/cvpr.2016.38,27.0,Article,2020.0,10.1080/13658816.2018.1542698,,4.0
"['Temporal Sequences', 'Time Series Analysis']","['DropConnect', 'Dropout']",journal of the association for information systems,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],2016 23rd International Conference on Pattern Recognition (ICPR),2016.0,10.1109/icpr.2016.7899800,16.0,Article,2020.0,10.17705/1jais.00632,,4.0
['Face Recognition'],[],international journal of geographical information science,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Neural Networks and Learning Systems,2015.0,10.1109/tnnls.2016.2607757,27.0,Article,2020.0,10.1080/13658816.2020.1725016,,5.0
"['Knowledge Distillation', 'Machine Translation', 'NMT', 'Translation']",['Knowledge Distillation'],data technologies and applications,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1139,52.0,Article,2021.0,10.1108/dta-12-2020-0312,,5.0
['Topic Models'],[],information processing & management,2.0,"['Computer Science', 'Mathematics']","['Computer Science', 'Mathematics']",Int. J. Approx. Reason.,2016.0,10.1016/j.ijar.2016.07.007,10.0,Article,2021.0,10.1016/j.ipm.2021.102536,,5.0
['General Classification'],[],international journal of geographical information science,2.0,"['Computer Science', 'Geography']","['Computer Science', 'Environmental Science']",Proceedings of the 23rd SIGSPATIAL International Conference on Advances in Geographic Information Systems,2015.0,10.1145/2820783.2820851,27.0,Article,2021.0,10.1080/13658816.2021.1919682,,6.0
['General Classification'],[],international journal of geographical information science,2.0,"['Computer Science', 'Geography']","['Computer Science', 'Environmental Science']",Proceedings of the 23rd SIGSPATIAL International Conference on Advances in Geographic Information Systems,2015.0,10.1145/2820783.2820851,27.0,Article,2021.0,10.1080/13658816.2020.1831515,,6.0
"['Image Captioning', 'Translation']",[],information processing & management,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2016.0,10.1109/tpami.2016.2587640,10.0,Article,2021.0,10.1016/j.ipm.2021.102610,,5.0
"['Image Captioning', 'Translation']",[],information processing & management,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2016.0,10.1109/tpami.2016.2587640,10.0,Article,2020.0,10.1016/j.ipm.2020.102302,,4.0
"['Image Captioning', 'Translation']",[],journal of information science,2.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE Transactions on Pattern Analysis and Machine Intelligence,2016.0,10.1109/tpami.2016.2587640,30.0,Article,2019.0,10.1177/0165551518819964,,3.0
[],[],journal of librarianship and information science,1.0,"['Computer Science', 'Mathematics']",['Computer Science'],Machine Learning,2016.0,10.1007/s10994-016-5554-z,47.0,Review,2022.0,10.1177/09610006211036734,,6.0
['Question Answering'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2015.0,10.1109/cvpr.2016.501,10.0,Article,2020.0,10.1016/j.ipm.2020.102265,,5.0
"['Sarcasm Detection', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3124420,10.0,Article,2022.0,10.1016/j.ipm.2022.102883,,6.0
"['Sarcasm Detection', 'Sentiment Analysis']",[],online information review,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3124420,43.0,Article,2022.0,10.1108/oir-03-2021-0184,,6.0
"['Sarcasm Detection', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3124420,10.0,Article,2021.0,10.1016/j.ipm.2021.102599,,5.0
"['Sarcasm Detection', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3124420,10.0,Article,2020.0,10.1016/j.ipm.2020.102262,,4.0
"['Sarcasm Detection', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2016.0,10.1145/3124420,10.0,Article,2019.0,10.1016/j.ipm.2019.04.006,,3.0
"['Language Modelling', 'Natural Language Inference', 'Reading Comprehension', 'Sentiment Analysis']",['Memory Network'],journal of the american medical informatics association,0.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1053,21.0,Article,2021.0,10.1093/jamia/ocab109,,5.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1059,10.0,Article,2022.0,10.1016/j.ipm.2022.102992,,6.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'Sentiment Analysis']",[],information technology & people,0.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1059,28.0,Article,2022.0,10.1108/itp-10-2020-0718,,6.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1059,10.0,Article,2021.0,10.1016/j.ipm.2021.102729,,5.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'Sentiment Analysis']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],,2016.0,10.18653/v1/d16-1059,10.0,Article,2021.0,10.1016/j.ipm.2021.102641,,5.0
"['Data Augmentation', 'Session-Based Recommendations']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],Proceedings of the 1st Workshop on Deep Learning for Recommender Systems,2016.0,10.1145/2988450.2988452,10.0,Article,2022.0,10.1016/j.ipm.2022.102936,,6.0
"['Data Augmentation', 'Session-Based Recommendations']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],Proceedings of the 1st Workshop on Deep Learning for Recommender Systems,2016.0,10.1145/2988450.2988452,10.0,Article,2020.0,10.1016/j.ipm.2019.102092,,4.0
"['Data Augmentation', 'Session-Based Recommendations']",[],journal of the association for information science and technology,2.0,['Computer Science'],['Computer Science'],Proceedings of the 1st Workshop on Deep Learning for Recommender Systems,2016.0,10.1145/2988450.2988452,39.0,Article,2018.0,10.1002/asi.24044,,2.0
['Face Recognition'],"['1x1 Convolution', 'Convolution', 'Local Response Normalization', 'Grouped Convolution', 'ReLU', 'Dropout', 'Dense Connections', 'Max Pooling', 'Softmax', 'AlexNet']",information processing & management,2.0,['Computer Science'],['Computer Science'],Frontiers of Computer Science,2016.0,10.1007/s11704-016-6076-3,10.0,Article,2019.0,10.1016/j.ipm.2019.02.005,,3.0
"['Collaborative Filtering', 'Multi-Task Learning', 'Topic Models', 'Word Embeddings']",[],scientometrics,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 10th ACM Conference on Recommender Systems,2016.0,10.1145/2959100.2959180,32.0,Article,2022.0,10.1007/s11192-022-04425-3,,6.0
"['Collaborative Filtering', 'Multi-Task Learning', 'Topic Models', 'Word Embeddings']",[],scientometrics,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 10th ACM Conference on Recommender Systems,2016.0,10.1145/2959100.2959180,32.0,Article,2021.0,10.1007/s11192-021-03909-y,,5.0
"['Collaborative Filtering', 'Multi-Task Learning', 'Topic Models', 'Word Embeddings']",[],journal of the american medical informatics association,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 10th ACM Conference on Recommender Systems,2016.0,10.1145/2959100.2959180,21.0,Article,2020.0,10.1093/jamia/ocaa074,,4.0
"['Semantic Similarity', 'Semantic Textual Similarity']",[],international journal of information management,0.0,['Computer Science'],['Computer Science'],Proceedings of the 24th International Conference on World Wide Web,2015.0,10.1145/2740908.2742570,1.0,Article,2021.0,10.1016/j.ijinfomgt.2020.102251,,6.0
"['Semantic Similarity', 'Semantic Textual Similarity']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],Proceedings of the 24th International Conference on World Wide Web,2015.0,10.1145/2740908.2742570,10.0,Article,2020.0,10.1016/j.ipm.2019.102140,,5.0
"['Semantic Similarity', 'Semantic Textual Similarity']",[],journal of management information systems,0.0,['Computer Science'],['Computer Science'],Proceedings of the 24th International Conference on World Wide Web,2015.0,10.1145/2740908.2742570,4.0,Review,2018.0,10.1080/07421222.2018.1451956,,3.0
[],[],journal of the association for information science and technology,2.0,"['Computer Science', 'Physics', 'Psychology']",['Linguistics'],,2016.0,10.1007/978-3-319-47880-7_3,39.0,Article,2021.0,10.1002/asi.24421,,5.0
"['Gaussian Processes', 'General Classification', 'Multi-Task Learning', 'Rumour Detection', 'Stance Classification']",[],journal of information science,2.0,['Computer Science'],['Computer Science'],ACM Transactions on Information Systems (TOIS),2019.0,10.1145/3295823,30.0,Article,2022.0,10.1177/0165551520977443,,3.0
"['Gaussian Processes', 'General Classification', 'Multi-Task Learning', 'Rumour Detection', 'Stance Classification']",[],journal of information science,2.0,['Computer Science'],['Computer Science'],ACM Transactions on Information Systems (TOIS),2019.0,10.1145/3295823,30.0,Article,2022.0,10.1177/0165551520944352,,3.0
"['intent-classification', 'Intent Classification', 'Intent Detection', 'Slot Filling', 'Translation']","['Tanh Activation', 'Sigmoid Activation', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.21437/interspeech.2016-1352,10.0,Article,2022.0,10.1016/j.ipm.2021.102863,,6.0
['Anomaly Detection'],[],knowledge organization,2.0,['Computer Science'],['Computer Science'],2016 IEEE International Conference on Data Science and Advanced Analytics (DSAA),2016.0,10.1109/dsaa.2016.51,64.0,Article,2021.0,10.5771/0943-7444-2021-1-8,,5.0
[],[],scientometrics,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1142,32.0,Article,2021.0,10.1007/s11192-021-04063-1,,5.0
[],[],scientometrics,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1142,32.0,Article,2020.0,10.1007/s11192-020-03382-z,,4.0
"['Image Retrieval', 'Question Answering', 'Retrieval', 'Visual Question Answering', 'Visual Question Answering (VQA)']",[],journal of the association for information science and technology,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.1007/978-3-319-46475-6_17,39.0,Article,2021.0,10.1002/asi.24373,,5.0
"['Image Retrieval', 'Question Answering', 'Retrieval', 'Visual Question Answering', 'Visual Question Answering (VQA)']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.1007/978-3-319-46475-6_17,10.0,Article,2020.0,10.1016/j.ipm.2020.102265,,4.0
"['Dependency Parsing', 'Language Identification']",[],journal of the american medical informatics association,0.0,['Computer Science'],['Computer Science'],ArXiv,2016.0,10.18653/v1/d16-1120,21.0,Article,2021.0,10.1093/jamia/ocaa326,,5.0
['Decision Making'],[],journal of management information systems,0.0,"['Mathematics', 'Computer Science', 'Engineering']",['Computer Science'],AI Mag.,2016.0,10.1609/aimag.v38i3.2741,4.0,Article,2022.0,10.1080/07421222.2022.2063553,,6.0
